text,label
"CommentaryIt is time to refinance!Your credit does not matter, we can approve anyone.Now is the time to let some of the top mortgage companies  in the country compete for your business. If you have good credit we will give you the most amazing  rates available anywhere! If you have poor credit, don&#x27;t worry! We can still refinance  you with the most competitive rates in the industry! Let Us put Our Expertise to Work for You! http://64.21.33.238/74205/Or site 2 http://64.21.33.238/74206/ Erase http://64.21.33.238/optout.htm",1
https://unigeol.quip.com/2JtcASZCsaZa/CLICK-HERE-TO-VERIFY-YOUR-EMAIL,1
canada update the following commercial have signed : mike cowan chris dorland john zufferli chad clark the following non - commercial have signed : kathy reeves brian gillis david hanslip angela mcculloch carla o &#x27; neil,0
eselworkshop.com,0
"california update 3 / 27 / 01 executive summary : ? undercollet remains sticking point for utility creditors ( especially qfs ) , involuntary bankruptcy likely if issue is not addressed in today &#x27; s capuc hearings ? capuc rate increase set at 40 % , pending dwr power purchase details ? davis defends no rate increase position , distances himself from capuc qf / generator undercollect may be an invitation to involuntary bankruptcy as reported last week , qf has sitting and waiting to hear what the capuc has to say , unfortunately it may not be what the qfs want to hear . the utilities &#x27; undercollect , which will not be addressed in today &#x27; s capuc hearings , could very well provide an invitation for qfs and generators to file involuntary bankruptcy against socal and pg &amp; e . recent rate hikes proposed by the capuc specifically dictate that any revenue generated from rate increases cannot be used to pay off utility past debt , leaving the qf with little hope of recovery . qfs were obviously dismayed by the capuc &#x27; s draft order and if the decision is passed as it currently reads , an involuntary bankruptcy filing is still likely . capuc holds rate increase hearings today as reported yesterday , loretta lynch released the details of the capuc &#x27; s draft rate increase order last night . there is expected to be a 3 cent / kwh surcharge on power bills or roughly a 40 % rate increase . a portion of this &quot; surcharge &quot; will be given to the dwr to cover its costs and the order concludes that utilities need revenues on a going - forward basis . therefore , utilities can only use the revenues for power purchases going forward and are expressly forbidden from using this cash to pay down past debt ( ex . qfs ) . however , the utilities are ordered to resume payments to the qfs on a going - forward basis . the net effect of the order is to allow the utilities to operate in case of bankruptcy . one interesting point in the draft is its decision which calls on the utilities to join with the state in pursuing a refund on the amount overcharged for power by the generators . the suggestion is that the utilities take legal action against the generators to recoup funds . only the funds recovered from generators can be used to pay down the utilities &#x27; past debt . if the utilities choose this course of action , it would be a very lengthy process . davis contends with lynch on capuc rate increases . davis has thus far refused to support capuc &#x27; s proposed rate increase stating the capuc decision making board is an independent body and that he continues to believe that a resolution can be found within the current rate structure . sources indicate that he is likely to ask for lynch &#x27; s letter of resignation , however , there is no indication she will comply . senator burton , who supports the capuc &#x27; s plan , reportedly will protect lynch by not allowing her to be impeached ( which is the only other way she could be removed by the governor ) .",0
"MEET OTHER SINGLES              JUST LIKE YOU Â  Â  Tired of searching              for love in all the wrong places?Find love now, the easy              way.Â  Â JOIN FOR              FREEFind your soul mate today!BROWSE THROUGH              THOUSANDS OF PERSONALS IN YOUR OWN AREA.CLICK                          HEREto Find Love Now!  Remove yourself from this recurring list by:Clicking here to send a blank email to unsub-7552100-336@mm53.comORSending a postal mail to CustomerService, 427-3 Amherst Street, Suite 319, Nashua, NH 03063This message was sent to address cypherpunks@einstein.ssz.com--DeathToSpamDeathToSpamDeathToSpam-- ------------------------------------------------------- This sf.net email is sponsored by:ThinkGeek Welcome to geek heaven. http://thinkgeek.com/sf _______________________________________________ Spamassassin-Sightings mailing list Spamassassin-Sightings@lists.sourceforge.net https://lists.sourceforge.net/lists/listinfo/spamassassin-sightings ",1
"fw : enrico bauli louise - do you know this gentleman from your days in london ? his resume looks good and he is interested in moving to houston and working in east power . john suarez - you are going to need at least one and probably two solid cash / term traders for the se region . talk to seresh about this guy . - - - - - original message - - - - - from : bauli , enrico sent : thu 9 / 13 / 2001 6 : 42 am to : presto , kevin m . cc : subject : enrico bauli kevin , thanks for taking a look at this . i will talk to you in the next days to see if you think i will make enough money for you . best regards , enrico + 44 207 783 6560 &gt;",0
"german text corpora / noun taxonomy dear linguists , i am looking for german text corpora , particularly corpora that contain parsed ( or at least partially parsed ) sentences . i am also looking for databases containing information about synonymy and hyponymy relations between german nouns or other information which could be usefull to build a classification taxonomy for german nouns . thank you for help . andreas wagner",0
"presentation on metals - - - - - - - - - - - - - - - - - - - - - - forwarded by leann walton / na / enron on 10 / 26 / 2000 10 : 52 am - - - - - - - - - - - - - - - - - - - - - - - - - - - alison sealy on 10 / 09 / 2000 10 : 37 : 40 am to : mraymon @ enron . com cc : subject : presentation on metals hi maureen , it was good to meet you last week and hear your presentation on the metals - full of advice on what to think about and all the various things that affect the market place . i am only sorry i had to dash off to the airport - good job i left when i did though as check - in took ages ! anyway , please could you send me through a copy of that presentation either on email or if it is located on the network somewhere then i could access it over the intranet ? i will be joining the lme conference tomorrow so am currently trying to do a bit of reading in preparation . thanks very much in advance &amp; look forward to seeing the presentation over here in london . kind regards alison",0
https://bela-rus-go-losa.top/tme,1
" Forwarded-by: Rob Windsor  Forwarded-by: &quot;Rich Holland&quot;  Forwarded-by: Diane S t . M o m &#x27; s W o r t Plant extract that treats mom&#x27;s depression by rendering preschoolers unconscious for up to six hours.E m p t y N e s t r o g e n Highly effective suppository that eliminates melancholy by enhancing the memory of how awful they were as teenagers and how you couldn&#x27;t wait till they moved out.P e p t o b i m b o Liquid silicone for single women. Two full cups swallowed before an evening out increases breast size, decreases intelligence, and improves flirting.D u m e r o l When taken with Peptobimbo, can cause dangerously low I.Q. causing enjoyment of country western music.F l i p i t o r Increases life expectancy of commuters by controlling road rage and the urge to flip off other drivers.A n t i b o y o t i c s When administered to teenage girls, is highly effective in improving grades, freeing up phone lines, and reducing money spent on make-up.M e n i c i l l i n Potent antiboyotic for older women. Increases resistance to such lines as, &quot;You make me want to be a better person ... can we get naked now?&quot;B u y a g r a Injectable stimulant taken prior to shopping. Increases potency and duration of spending spree.E x t r a S t r e n g t h B u y-O n e-A l l When combined with Buyagra, can cause an indiscriminate buying frenzy so severe the victim may even come home with a Donnie Osmond CD or a book by Dr. Laura.J a c k A s s p i r i n Relieves the headache caused by a man who can&#x27;t remember your birthday, anniversary or phone number.A n t i - t a l k s i d e n t A spray carried in a purse or wallet to be used on anyone too eager to share their life stories with total strangers.R a g a m e t When administered to a husband, provides the same irritation as ragging on him all weekend, saving the wife the time and trouble of doing it herself. ",0
"give your pc a tune - up with system mechanic if you want to make sure that emails from realnetworks go to your inbox and not to your junk mail folder , add news @ real - email . net to your address book . your ultimate arsenal for improving pc performance ! system mechanic uses 15 powerful tools to keep your pc running faster , cleaner and error - free . download now take your pc to a whole new level of performance . increase download speeds by up to 300 % optimize internet and network connections find and remove duplicate , obsolete and junk files permanently delete files you don &#x27; t want others to see find and repair broken windows shortcuts ensure your privacy on the internet - works with ie and netscape safely install new software and programs so much more ! download system mechanic now if you do not wish to receive e - mails from us in the future , click here to unsubscribe . need customer support ? contact us at : http : / / service . real . com / realone have questions regarding our email privacy policy ? contact us at : email privacy policy group realnetworks , inc . p . o . box 91123 seattle , wa 98111 - 9223 privacy policy 2005 realnetworks , inc . patents pending . all rights reserved . realnetworks , realplayer and real . com are trademarks or registered trademarks of realnetworks , inc . all other companies or products listed herein are trademarks or registered trademarks of their respective owners .",1
